Crime Code,Crime Code Description,MO Codes, Age,Sex,Liscense Plate,Premise Code,Premise Description,Weapon Used Code,Weapon Description
740,VANDALISM - FELONY ($400 & OVER - ALL CHURCH VANDALISMS),0329 2002,31,F,V76-LLK,517,MISSIONS/SHELTERS,0,none
230,ASSAULT WITH DEADLY WEAPON - AGGRAVATED ASSAULT,0416 1402 1218,45,M,K54-DSL,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON
740,VANDALISM - FELONY ($400 & OVER - ALL CHURCH VANDALISMS),1402 0329 0311,22,M,C44-QSS,203,OTHER BUSINESS,0,none
320,BURGLARY -  ATTEMPTED,344,58,F,N33-FDS,502,MULTI-UNIT DWELLING (APARTMENT),0,none
210,ROBBERY,1402 0344 0378 0319 0334 0432,44,F,V42-DJS,402,MARKET,511,VERBAL THREAT
740,VANDALISM - FELONY ($400 & OVER - ALL CHURCH VANDALISMS),0329 1402,14,M,M34-KSS,726,POLICE FACILITY,0,none
440,THEFT PLAIN - PETTY ($950 & UNDER),344,39,F,L55-GGH,101,STREET,0,none
230,ASSAULT WITH DEADLY WEAPON -  AGGRAVATED ASSAULT,1402 2004 0400,44,M,C23-SDK,101,STREET,207,OTHER KNIFE
210,ROBBERY,0334 0344,23,M,B26-KKS,301,GAS STATION,102,HAND GUN
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,28,M,M62-SKD,404,DEPARTMENT STORE,0,none
649,DOCUMENT FORGERY / STOLEN FELONY,1402 0800 2004,63,M,L12-FFD,602,BANK,0,none
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,23,M,K48-DDR,101,STREET,0,none
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,22,F,H35-ELP,404,DEPARTMENT STORE,0,none
236,AGGRAVATED ASSAULT,2000 0416 1276,18,F,F62-NSS,102,SIDEWALK,400,STRONG-ARM (HANDS - FIST - FEET OR BODILY FORCE)
624,BATTERY - SIMPLE ASSAULT,0419 1402 0400 1266,26,F,F25-SJD,716,THEATRE/MOVIE,400,STRONG-ARM (HANDS - FIST - FEET OR BODILY FORCE)
121,RAPE -  FORCIBLE,1402 0361 0519,58,F,B43-KKL,502,MULTI-UNIT DWELLING (APARTMENT),400,STRONG-ARM (HANDS - FIST - FEET OR BODILY FORCE)
